text,label
when should i go to a clinic for a sore throat right now,Seek Medical Help
could you help me i keep coughing at night and my nose is blocked this morning?,Symptom Inquiry
"for the last two days, i have cold symptoms and a persistent cough this morning",Symptom Inquiry
"for the last two days, when should i go to a clinic for a sore throat?",Seek Medical Help
"for the last two days, could you help me what medicine helps with congestion and fever right now?",Medication Question
"please help, is nasal spray okay for congestion for two days?",Medication Question
"for the last two days, should i go to urgent care for fever and chest pain and i am worried",Seek Medical Help
i want to know if could you help me do i need urgent care for chest tightness and cough since yesterday?,Seek Medical Help
i want to know if what helps with congestion and runny nose this morning,Self-Care Advice
could you help me i feel congestion in my nose and chest?,Symptom Inquiry
could you help me i feel congestion in my nose and chest this morning?,Symptom Inquiry
i want to know if could you help me when should i go to a clinic for a sore throat and i am worried?,Seek Medical Help
i want to know if when should i go to a clinic for a sore throat right now,Seek Medical Help
"please help, should i see a doctor for my fever and cough this morning?",Seek Medical Help
i want to know if do i need professional care if i cannot breathe well this morning,Seek Medical Help
"for the last two days, can i use cough syrup for a dry cough this morning",Medication Question
"please help, what helps with congestion and runny nose since yesterday?",Self-Care Advice
